City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Khatanga,RU,71.9667,102.5,-22.95,100,100,5.44,overcast clouds
188,Viedma,AR,-40.8135,-62.9967,65.37,52,0,16.42,clear sky
189,Homer,US,59.6425,-151.5483,31.87,86,0,3.44,clear sky
190,Maniitsoq,GL,65.4167,-52.9,13.77,85,100,8.9,light snow
191,Puerto Ayora,EC,-0.7393,-90.3518,72.77,90,36,8.1,scattered clouds
192,Bria,CF,6.5423,21.9863,82.6,37,99,1.63,overcast clouds
193,Fuxin,CN,42.0156,121.6589,14.16,41,100,4.97,overcast clouds
194,Tiruchchendur,IN,8.4833,78.1167,75.49,81,29,9.93,scattered clouds
195,Itarema,BR,-2.9248,-39.9167,77.92,81,98,8.75,overcast clouds
196,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,99,13.82,light rain
197,Mukhen,RU,48.1,136.1,-5.01,93,100,2.15,overcast clouds
198,High Prairie,CA,55.4334,-116.4858,36.7,93,65,3.6,broken clouds
199,Puquio,PE,-14.7,-74.1333,49.93,81,100,4.43,overcast clouds
200,Kaitangata,NZ,-46.2817,169.8464,52.27,87,100,14.92,overcast clouds
201,Biak,ID,-0.9131,122.8766,82.63,70,31,0.36,scattered clouds
202,Jackson,US,42.4165,-122.8345,51.67,77,0,0.0,clear sky
203,Longyearbyen,SJ,78.2186,15.6401,33.64,69,40,13.8,scattered clouds
204,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,17.27,overcast clouds
205,Kuching,MY,1.55,110.3333,75.42,100,20,3.44,few clouds
206,Pouembout,NC,-21.1333,164.9,83.28,72,62,11.63,broken clouds
207,Luderitz,NA,-26.6481,15.1594,66.42,79,5,13.4,clear sky
208,Provideniya,RU,64.3833,-173.3,12.31,67,20,22.37,few clouds
209,Bilibino,RU,68.0546,166.4372,-19.44,96,100,3.51,overcast clouds
210,Klaksvik,FO,62.2266,-6.589,49.12,81,100,39.86,overcast clouds
211,Fort Frances,CA,48.5999,-93.4003,23.22,73,100,5.01,overcast clouds
212,Jacqueville,CI,5.2052,-4.4146,82.31,85,95,11.18,overcast clouds
213,Hithadhoo,MV,-0.6,73.0833,82.62,69,98,8.7,overcast clouds
214,Yerbogachen,RU,61.2767,108.0108,-7.08,99,100,2.84,overcast clouds
215,Grindavik,IS,63.8424,-22.4338,36.07,75,40,29.93,moderate rain
216,Zhuhai,CN,22.2769,113.5678,62.91,67,20,14.97,few clouds
217,Kropotkin,RU,45.4375,40.5756,42.8,91,100,6.76,moderate rain
218,San Quintin,MX,30.4833,-115.95,63.46,49,100,0.83,overcast clouds
219,Kodiak,US,57.79,-152.4072,35.11,93,100,5.75,mist
220,Nouadhibou,MR,20.931,-17.0347,66.18,55,100,13.8,overcast clouds
221,Mount Gambier,AU,-37.8333,140.7667,78.71,47,100,16.11,overcast clouds
222,Pabbi,PK,34.0106,71.7989,41.68,44,0,1.86,clear sky
223,Vanimo,PG,-2.6741,141.3028,84.94,71,84,8.1,broken clouds
224,Constitucion,CL,-35.3333,-72.4167,59.41,94,21,5.23,few clouds
225,Ambovombe,MG,-25.1667,46.0833,73.92,85,6,10.8,clear sky
226,Sembakung,ID,3.8167,117.25,82.33,70,75,2.26,broken clouds
227,Manoel Urbano,BR,-8.8389,-69.2597,75.6,86,80,2.95,broken clouds
228,Alyangula,AU,-13.8483,136.4192,78.67,89,100,11.5,light intensity drizzle
229,Nisia Floresta,BR,-6.0911,-35.2086,79.18,80,41,6.06,scattered clouds
230,Galesong,ID,-5.3166,119.3661,78.82,74,100,5.66,overcast clouds
231,Camacha,PT,33.0833,-16.3333,60.22,59,75,13.8,broken clouds
232,Svetlyy,RU,54.675,20.1347,25.97,89,92,7.31,overcast clouds
233,Akhmim,EG,26.5622,31.745,46.6,26,12,0.74,few clouds
234,Nova Russas,BR,-4.7067,-40.5631,75.33,79,100,5.44,overcast clouds
235,Dunedin,NZ,-45.8742,170.5036,58.55,66,78,19.64,broken clouds
236,Cam Ranh,VN,11.9214,109.1591,76.96,69,20,11.5,few clouds
237,Muyezerskiy,RU,63.9333,31.65,15.82,93,100,14.34,light snow
238,Nishihara,JP,26.1842,127.7558,58.68,66,100,12.66,overcast clouds
239,Peniche,PT,39.3558,-9.3811,55.09,93,5,5.97,clear sky
240,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,75,8.05,broken clouds
241,Kimbe,PG,-5.5502,150.1429,86.76,65,100,5.08,light rain
242,Canmore,CA,51.0834,-115.3521,39.69,60,100,9.22,overcast clouds
