City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Irtyshskiy,RU,2021-12-22 06:35:21,58.3333,68.1333,28.02,90,100,14.41
255,Rocha,UY,2021-12-22 06:35:22,-34.4833,-54.3333,59.81,95,8,3.42
256,Mikun,RU,2021-12-22 06:35:22,62.3547,50.0771,1.11,96,100,5.26
257,Jos,NG,2021-12-22 06:35:23,9.9167,8.9,60.33,36,4,8.48
258,Teknaf,BD,2021-12-22 06:35:23,20.8624,92.3058,73.31,51,0,7.05
259,Warman,CA,2021-12-22 06:35:24,52.3168,-106.5679,6.71,77,75,4.61
260,Vila Franca Do Campo,PT,2021-12-22 06:35:24,37.7167,-25.4333,61.21,71,70,20.18
261,Port Pirie,AU,2021-12-22 06:35:25,-33.1833,138.0167,78.89,51,0,17.92
262,Dukat,RU,2021-12-22 06:32:12,62.55,155.55,-24.61,94,89,6.96
263,Pirot,RS,2021-12-22 06:35:25,43.1531,22.5861,17.33,85,86,1.43
264,Bathsheba,BB,2021-12-22 06:35:26,13.2167,-59.5167,79.41,78,40,21.85
265,Tarabuco,BO,2021-12-22 06:35:26,-19.1667,-64.9167,49.24,89,100,2.35
266,Neryungri,RU,2021-12-22 06:35:27,56.6709,124.6491,-31.67,95,100,6.93
267,Gonaives,HT,2021-12-22 06:35:27,19.45,-72.6833,72.59,88,44,2.89
268,Sao Felix Do Xingu,BR,2021-12-22 06:35:27,-6.6447,-51.995,71.6,99,100,1.01
269,Pringsewu,ID,2021-12-22 06:35:28,-5.3582,104.9744,83.77,75,59,2.89
270,Sayat,TM,2021-12-22 06:35:28,38.7839,63.8803,57.07,43,87,2.15
271,Waingapu,ID,2021-12-22 06:35:29,-9.6567,120.2641,89.44,63,100,7.16
272,Saint-Gaudens,FR,2021-12-22 06:35:29,43.0833,0.6667,40.73,68,6,5.64
273,Katsuura,JP,2021-12-22 06:35:29,35.1333,140.3,55.18,47,99,9.84
274,Isla Vista,US,2021-12-22 06:35:30,34.4133,-119.861,61.34,58,1,0.0
275,Togur,RU,2021-12-22 06:35:30,58.3631,82.8265,7.72,95,97,8.52
276,San Carlos,VE,2021-12-22 06:35:30,9.6612,-68.5827,74.97,78,90,3.31
277,Saint-Philippe,RE,2021-12-22 06:35:31,-21.3585,55.7679,83.79,89,100,17.27
278,Kaitangata,NZ,2021-12-22 06:35:31,-46.2817,169.8464,58.41,76,100,6.55
279,Melfi,IT,2021-12-22 06:35:32,40.9965,15.6514,38.41,80,99,1.79
280,Hilton Head Island,US,2021-12-22 06:35:32,32.2163,-80.7526,45.0,93,90,8.05
281,Patacamaya,BO,2021-12-22 06:35:33,-17.2333,-67.9167,44.91,89,100,3.6
282,Ayr,GB,2021-12-22 06:35:33,55.4627,-4.6339,36.5,89,100,4.56
283,Centralia,US,2021-12-22 06:35:34,46.7162,-122.9543,44.69,87,90,6.91
284,Ancud,CL,2021-12-22 06:35:34,-41.8697,-73.8203,53.13,93,4,2.77
285,Kuala Terengganu,MY,2021-12-22 06:35:34,5.3302,103.1408,82.35,83,20,3.44
286,Meulaboh,ID,2021-12-22 06:35:35,4.1363,96.1285,84.81,65,73,5.21
287,Marystown,CA,2021-12-22 06:31:22,47.1666,-55.1483,33.85,100,74,3.0
288,Ponta Do Sol,PT,2021-12-22 06:35:35,32.6667,-17.1,68.0,91,100,10.22
289,Porto Novo,BJ,2021-12-22 06:35:36,6.4965,2.6036,73.22,39,20,5.08
290,Coihueco,CL,2021-12-22 06:31:19,-36.6167,-71.8333,56.07,41,0,2.84
291,Mnogovershinnyy,RU,2021-12-22 06:35:37,53.9353,139.9242,-12.01,94,100,4.41
292,East Brainerd,US,2021-12-22 06:35:37,34.9959,-85.1502,41.05,89,20,0.0
